Station	Year	Month	C	RH	Blight
13882	1991	2	7.44	69.61	0.64
13882	1991	3	12.27	62.64	0.58
13882	1991	4	17.42	72.33	2.57
13882	1991	5	22.58	76.74	3.03
13882	1991	6	24.33	77.06	2.4
13882	1991	7	26.64	76.19	1
13882	1991	8	25.65	74.49	1.45
13882	1991	10	15.82	68.66	1.39
13882	1991	11	8.22	66.95	0.87
13882	1991	12	6.85	72.52	1.29
13882	1992	1	5.4	70.66	0.71
13882	1992	2	7.9	70.34	1.38
13882	1992	3	9.74	67.88	1.19
13882	1992	4	15.06	66.85	1.8
13882	1992	5	17.73	74.44	2.65
13882	1992	6	21.79	80.82	4.5
13882	1992	7	25.1	80.09	2.97
13882	1992	8	22.49	81.58	4.94
13882	1992	9	20.97	82.57	4.67
13882	1992	10	14.17	80.69	2.97
13882	1992	11	9.25	75.86	1.47
13882	1992	12	5.94	80.5	1.13
13882	1993	1	7.47	77.69	1.55
13882	1993	2	5.6	65.46	0.39
13882	1993	3	9.48	68.75	0.87
13882	1993	4	14.73	62.89	0.97
13882	1993	5	20.43	75.49	3.58
13882	1993	6	25.63	74.6	1.9
13882	1993	7	29.04	68.15	0.48
13882	1993	8	27.5	71.8	1.45
13882	1993	9	22.82	70.64	1.87
13882	1993	10	15.57	73.72	1.65
13882	1993	11	9.75	74.97	1.3
13882	1993	12	5.91	74.79	0.71
13882	1994	1	2.09	75.95	1
13882	1994	2	7.74	76.74	1.64
13882	1994	3	10.28	67.45	1.35
13882	1994	4	17.93	71.91	2.23
13882	1994	5	18.9	73.46	2.45
13882	1994	6	24.72	81.3	3.43
13882	1994	8	24.31	82.74	4.16
13882	1994	9	20.58	81.99	5.6
13882	1994	10	15.82	80.83	3.87
13882	1994	11	11.82	74.41	1.8
13882	1994	12	8.26	81.87	1.58
13882	1995	1	5.4	79.28	0.61
13882	1995	2	5.77	63.71	1.29
13882	1995	3	12.3	62.68	0.42
13882	1995	4	16.88	63.16	0.87
13882	1995	5	20.84	73.89	2.42
13882	1995	6	23.55	72.82	2.03
13882	1995	7	26.67	71.45	0.71
13882	1995	8	26.89	77.11	1.26
13882	1995	11	6.82	74.35	1.13
13883	1990	1	10.79	71.76	1.16
13883	1990	2	13.33	65.75	1.21
13883	1990	3	14.94	69.99	1.35
13883	1990	4	17.8	60.33	0.73
13883	1990	5	22.14	66.54	0.9
13883	1990	6	26.55	62.75	0.4
13883	1990	7	27.77	67	0.71
13883	1990	8	26.62	76.5	1.32
13883	1990	9	23.56	71.56	2.6
13883	1990	10	18.29	77.1	3.97
13883	1990	11	12.36	72.38	1.67
13883	1990	12	10.62	74.56	1.48
13883	1991	1	7.74	77.3	1.29
13883	1991	2	10.69	64.79	0.86
13883	1991	3	14.53	62.86	0.65
13883	1991	4	19.42	72.94	2.7
13883	1991	5	23.48	77.16	2.58
13883	1991	6	25.65	69.91	0.8
13883	1991	7	27.25	79.24	0.94
13883	1991	8	25.87	81.98	3.26
13883	1991	9	23.22	75.81	2.77
13883	1991	10	17.63	74.27	3.06
13883	1991	11	10.93	72.48	1.2
13883	1991	12	9.56	66.45	0.81
13883	1992	1	8.04	67.94	0.71
13883	1992	2	10.57	65.84	1.55
13883	1992	3	12.38	63.01	1.16
13883	1992	4	16.98	63.11	1.67
13883	1992	5	19.77	68.6	2.58
13883	1992	6	24.05	76.94	2.8
13883	1992	7	28	69.22	0.74
13883	1992	8	25.15	77.4	2.03
13883	1992	9	22.99	78.01	2.3
13883	1992	10	15.87	75.58	2.65
13883	1992	11	12.5	76.17	2.07
13883	1992	12	7.76	73.95	0.77
13883	1993	1	8.76	71.15	1.35
13883	1993	2	7.11	64.9	0.61
13883	1993	3	10.86	68.58	1.65
13883	1993	4	15.49	59.8	0.33
13883	1993	5	21.86	68.03	2.52
13883	1993	6	26.4	66.59	0.93
13883	1993	7	29.37	65.88	0.45
13883	1993	9	23.9	73.85	1.47
13883	1993	10	17.12	73.85	2.39
13883	1993	11	12.14	71.72	1.47
13883	1993	12	6.56	71.74	0.32
13883	1994	1	5.46	66.54	0.81
13883	1994	2	9.97	67.6	0.79
13883	1994	4	20.25	60.1	0.17
13883	1994	5	20.88	60.84	0.97
13883	1994	6	25.98	75	1.63
13883	1994	7	26.38	77.9	0.84
13883	1994	8	24.95	78.53	2.65
13883	1994	9	22.02	75.02	3.27
13883	1994	10	16.9	76.2	3.39
13883	1994	11	13.26	74.17	2.03
13883	1994	12	10.01	72.67	1.45
13883	1995	1	7.19	71.72	1.03
13883	1995	2	8.11	64.36	1
13883	1995	3	14.3	61.52	0.77
13883	1995	5	23.43	64.2	0.94
13883	1995	6	24.34	75.86	1.83
13883	1995	7	27.51	73.63	1.1
13883	1995	8	27.24	75.78	1.06
13883	1995	9	22.64	78.89	2.9
13883	1995	10	19.04	75.89	2.77
13883	1995	11	9.94	73.47	1.17
13889	1990	1	14.23	76.12	2.97
13889	1990	2	16.82	77.75	3.29
13889	1990	3	18.02	74.62	2.58
13889	1990	4	19.29	71.52	1.9
13889	1990	5	24.18	68.26	0.26
13889	1990	6	26.61	72.48	1.43
13889	1990	7	27.8	75.03	0.39
13889	1990	8	27.03	78.03	0.97
13889	1990	9	25.63	74.33	1.87
13889	1990	10	22	78.25	3.03
13889	1990	11	16.81	77.81	3
13889	1990	12	15.36	80.25	3.58
13889	1991	1	13.2	82.88	3.13
13889	1991	2	14.67	70.64	1.82
13889	1991	3	17.82	69.22	1.29
13889	1991	4	22.01	79.04	3.5
13889	1991	5	25.48	77.79	1.65
13889	1991	6	26.04	77.89	1.53
13889	1991	7	27.47	79.41	0.65
13889	1991	8	27.28	79.5	1.19
13889	1991	9	25.58	79.16	2.07
13889	1991	10	21.08	78.54	3.77
13889	1991	11	14.59	75.92	2.3
13889	1991	12	13.89	79.23	3.29
13889	1992	1	11.25	73.61	1.39
13889	1992	2	14.3	77.84	2.59
13889	1992	3	15.78	67.34	1.16
13889	1992	4	18.37	70.41	2.87
13889	1992	5	21.94	72.52	3.35
13889	1992	6	26.29	79.84	0.53
13889	1992	7	28.17	73.91	0.16
13889	1992	8	26.77	80.7	0.97
13889	1992	9	25.15	84.38	1.33
13889	1992	10	19.78	81.05	3.97
13889	1992	11	17.14	81.37	2.73
13889	1992	12	13.24	81.06	3.29
13889	1993	1	14.61	82.62	3.74
13889	1993	2	11.67	74.34	1.64
13889	1993	3	15.43	70.86	1.9
13889	1993	4	17.59	65.87	0.6
13889	1993	5	22.66	71.29	2.55
13889	1993	6	26.2	76.62	1.7
13889	1993	7	27.91	79.39	1.06
13889	1993	8	26.97	82.42	1.74
13889	1993	9	25.38	82.36	1.43
13889	1993	10	20.05	87.06	5.68
13889	1993	11	16.16	82.24	3.7
13889	1993	12	10.37	75.33	1.35
13889	1994	1	10.43	76.1	1.94
13889	1994	2	15.14	73.55	2.14
13889	1994	3	17.15	68.81	1.48
13889	1994	4	20.79	76.56	4
13889	1994	5	22.91	73.54	2.81
13889	1994	6	25.93	84.87	1.67
13889	1994	7	26.49	84.04	1.29
13889	1994	8	26.27	83.54	1.23
13889	1994	9	24.43	84.06	3.13
13889	1994	10	21	87.81	5.77
13889	1994	11	18.66	86.81	5.6
13889	1994	12	13.99	84.65	3.48
13889	1995	1	11.19	76.38	1.03
13889	1995	2	12.69	71.91	1.93
13889	1995	3	16.95	75.98	2.55
13889	1995	4	20.02	73.12	3.4
13889	1995	5	24.24	75.39	3.32
13889	1995	6	25.11	80.56	2.6
13889	1995	7	27.09	81.37	1.39
13889	1995	8	26.96	82.16	1.23
13889	1995	9	24.48	86.61	1.87
13889	1995	10	22.28	81.37	2.9
13889	1995	11	13.88	78.41	2
13889	1995	12	10.93	78.01	2.47
13891	1990	1	7.01	71.1	0.74
13891	1990	2	9.27	68.25	1.04
13891	1990	3	11.84	67.89	1.23
13891	1990	4	14.57	62.06	0.63
13891	1990	5	18.67	72.81	1.74
13891	1990	6	24.13	68.28	0.37
13891	1990	7	24.95	71.53	1.94
13891	1990	8	24.66	75.64	2.58
13891	1990	9	21.78	72.9	2.63
13891	1990	10	15.07	75.26	2.52
13891	1990	11	10.79	69.1	0.9
13891	1990	12	7.09	76.47	1.84
13891	1991	1	4.82	79.62	0.97
13891	1991	2	6.57	71.3	0.68
13891	1991	3	11.22	63.95	0.45
13891	1991	4	16.87	69.46	1.8
13891	1991	6	23.12	79.49	3.97
13891	1991	7	25.55	78.15	1.9
13891	1991	8	24.13	77.71	3.42
13891	1991	9	21.04	77.12	1.83
13891	1991	10	15.67	68.01	0.84
13891	1991	11	8.11	69.97	0.97
13891	1991	12	6.08	73.58	1.06
13891	1992	1	4.58	67.2	0.32
13891	1992	2	7.48	64.8	0.86
13891	1992	3	8.96	67.55	0.68
13891	1992	4	14.98	67.36	1.03
13891	1992	5	17.47	77.43	2.71
13891	1992	6	21.98	81.17	4.03
13891	1992	7	25.06	80.14	2.97
13891	1992	8	22.53	82.57	5
13891	1992	9	20.93	81.89	4.7
13891	1992	10	13.87	78.79	2.32
13891	1992	11	8.72	76.86	1.17
13891	1992	12	4.45	83.12	1.29
13891	1993	1	6.42	76.79	1.16
13891	1993	2	3.93	66.06	0.32
13891	1993	3	7.56	75.86	1.65
13891	1993	4	13.6	63.89	0.73
13891	1993	5	19.34	76.19	2.84
13891	1993	6	24.42	73.24	2.3
13891	1993	7	27.87	67.24	0.35
13891	1993	8	25.27	77.22	2.71
13891	1993	9	20.86	75.42	3.07
13891	1993	10	13.87	77.72	2.39
13891	1993	11	8.66	76.41	1.1
13891	1993	12	4.44	76.37	0.94
13891	1994	1	0	80.51	1.03
13891	1994	2	6.37	70.08	1
13891	1994	3	9.65	67.56	1.32
13891	1994	4	16.75	66.08	1.23
13891	1994	5	17.8	69.97	1
13891	1994	6	24.03	78.63	3.37
13891	1994	7	24.21	81.8	3.55
13891	1994	8	23.47	83.39	4.97
13891	1994	9	19.98	78.23	4.63
13891	1994	10	15.25	75.91	1.84
13891	1994	11	11.4	70.22	0.83
13891	1994	12	7.19	79.95	1.71
13891	1995	1	3.85	73.62	0.87
13891	1995	2	4.65	65.95	0.81
13891	1995	4	16.48	59.1	0.57
13891	1995	5	19.75	74.14	2.61
13891	1995	6	22.64	78.63	3.4
13891	1995	7	26.35	69.65	1.32
13891	1995	8	26.77	71.19	0.68
13891	1995	12	2.94	68.88	0.33
13893	1990	2	10.93	69.57	1.79
13893	1990	3	13.1	70.94	1.55
13893	1990	4	16.49	63.47	0.93
13893	1990	5	20.32	70.58	0.87
13893	1990	6	27.22	64.37	0.2
13893	1990	7	28	63.97	0.16
13893	1990	8	27.57	63.3	0.03
13893	1990	9	24.83	66.33	0.57
13893	1990	10	16	67.06	1.06
13893	1990	11	13.66	66.36	0.53
13893	1990	12	7.46	76.17	2.06
13893	1991	1	4.97	78.36	1
13893	1991	2	9.3	69.27	1.18
13893	1991	3	13.19	62.5	0.55
13893	1991	4	18.38	74.39	2.6
13893	1991	5	23.46	77.63	1.81
13893	1991	6	26.51	70.64	0
13893	1991	7	28.25	64.93	0.16
13893	1991	8	26.94	67.85	0.23
13893	1991	9	23.34	69.35	0.33
13893	1991	10	18.32	62.57	1.13
13893	1991	11	9.37	63.97	0.77
13893	1991	12	8.27	69.79	1.52
13893	1992	1	5.55	71.79	0.55
13893	1992	2	9.89	68.88	1.41
13893	1992	3	12.04	65.2	0.87
13893	1992	4	17.49	60.63	0.57
13893	1992	5	21.18	63.37	1.19
13893	1992	6	24.78	71.6	2
13893	1992	7	27.72	74.26	0.65
13893	1992	8	24.65	73.91	0.39
13893	1992	9	22.52	72.05	0.63
13893	1992	10	17.48	65.37	0.87
13893	1992	11	10.09	66.77	0.77
13893	1992	12	6.63	74.83	1.06
13893	1993	1	5.88	73.86	0.77
13893	1993	2	5.62	67.52	0.61
13893	1993	3	10.52	66.65	1.71
13893	1993	4	15.37	65.33	0.6
13893	1993	5	20.96	68.63	1.16
13893	1993	6	26.18	70.9	0.37
13893	1993	7	29.92	66.66	0.03
13893	1993	8	28.25	71.49	0.35
13893	1993	9	22.51	70.91	1.8
13893	1993	10	16.27	71.32	1.35
13893	1993	12	7.08	69.24	0.68
13893	1994	1	2.92	67.65	0.71
13893	1994	2	7.92	66.75	0.61
13893	1994	3	12.34	59.94	0.58
13893	1994	4	19.41	59.93	0.4
13893	1994	5	21.22	62.1	0.23
13893	1994	6	27.64	69.56	0.4
13893	1994	7	26.7	72.84	0.23
13893	1994	8	26.02	68.55	0.26
13893	1994	9	22.07	66.76	0.53
13893	1994	10	17.04	71.97	2.13
13893	1994	11	13.39	69.42	1.1
13893	1994	12	7.98	78.63	2.06
13893	1995	1	5.54	74.19	0.16
13893	1995	2	6.5	61.4	0.75
13893	1995	3	13.5	59.97	0.68
13893	1995	4	17.45	63.81	1.3
13893	1995	5	21.56	74.91	1.77
13893	1995	6	24.6	74.82	2
13893	1995	7	27.06	74.97	0.55
13893	1995	8	28.89	72.99	0.58
13893	1995	9	22.24	66.35	0.17
13893	1995	10	18.13	58.78	0.94
13893	1995	11	8.73	67.7	0.57
13893	1995	12	5.89	68.11	0.23
13894	1990	1	12.54	80.56	3.55
13894	1990	2	14.96	76.5	2.61
13894	1990	3	16.2	74.32	3.23
13894	1990	4	18.28	74.12	3.3
13894	1990	5	22.86	75.09	1.94
13894	1990	6	26.9	73.53	0.5
13894	1990	7	26.82	75.58	1.06
13894	1990	8	27.26	72.15	0.77
13894	1990	9	25.05	72.02	0.93
13894	1990	10	19.54	66.18	1.94
13894	1990	11	15.63	71.29	2.33
13894	1990	12	13.58	77.06	3.16
13894	1991	1	10.99	81.22	3.1
13894	1991	2	13.36	71.93	2.18
13894	1991	3	16.44	68.68	1.84
13894	1991	4	20.61	81.15	3.97
13894	1991	5	23.96	85.09	2.48
13894	1991	6	25.71	77.56	0.63
13894	1991	7	26.82	79.89	1.26
13894	1991	8	26.39	80.34	1.1
13894	1991	9	24.39	75.07	0.87
13894	1991	10	20.42	72.98	2.45
13894	1991	11	12.04	69.74	2.5
13894	1991	12	12.06	75.41	2.45
13894	1992	1	9.63	75.29	1.39
13894	1992	2	13.44	75.41	2.86
13894	1992	3	15.49	70.33	2.65
13894	1992	4	18.49	72.23	3.7
13894	1992	5	22.02	69.6	3.1
13894	1992	6	25.93	77.39	1.33
13894	1992	7	27.16	80.69	1.19
13894	1992	8	25.52	81.05	1.97
13894	1992	9	24.16	82.97	1.73
13894	1992	10	19.3	76.95	3.65
13894	1992	11	13.12	75.04	1.57
13894	1992	12	12.76	79.59	2.97
13894	1993	1	12.49	76.78	2.71
13894	1993	2	11.21	65.13	1.04
13894	1993	3	13.68	74.6	2.03
13894	1993	4	16.75	74.38	3.07
13894	1993	5	22.03	76.05	3.65
13894	1993	6	26.2	78.21	1
13894	1993	7	27.05	80.87	1
13894	1993	8	26.96	81.01	1.42
13894	1993	9	24.73	79.59	1.83
13894	1993	10	19.31	77.04	2.45
13894	1993	11	13.76	73.84	1.03
13894	1993	12	9.75	73.59	1.1
13894	1994	1	8.09	71.78	1.74
13894	1994	2	13.34	76.29	2.71
13894	1994	3	15.43	75.68	3.1
13894	1994	4	20.09	79.93	4.37
13894	1994	5	22.74	75.02	2.87
13894	1994	6	25.7	84.28	1.4
13894	1994	7	25.51	84.41	1.87
13894	1994	8	26.2	79.94	1.9
13894	1994	9	24.02	77.92	2.2
13894	1994	10	19.72	81.88	3.71
13894	1994	11	16.9	77.1	2.53
13894	1994	12	12.58	80.09	2.55
13894	1995	1	10.29	75.02	2.32
13894	1995	2	12.51	72.77	3.36
13894	1995	3	16.09	77.08	3.13
13894	1995	4	19.49	75.52	2.47
13894	1995	5	24.07	79.58	2.19
13894	1995	6	25.58	74.47	1.4
13894	1995	7	27.08	82.36	1.23
13894	1995	8	27.69	80.13	1.32
13894	1995	9	25.04	76.03	1.43
13894	1995	10	19.98	72.82	2.32
13894	1995	11	13.47	75.34	1.77
13894	1995	12	10.24	75.2	2.57
13895	1990	1	10.63	74.95	2.16
13895	1990	2	13.38	74.04	2.32
13895	1990	3	15.44	69.9	2.26
13895	1990	4	17.29	69.4	2.07
13895	1990	5	21.95	72.54	2.29
13895	1990	6	26.65	68.58	0.87
13895	1990	7	26.81	74.48	1.16
13895	1990	8	28.62	66.79	0.52
13895	1990	9	25.33	64.42	0.5
13895	1990	10	18.75	65.96	1.48
13895	1990	11	13.71	70.55	1.23
13895	1990	12	11.69	75.98	2.1
13895	1991	1	8.77	81.32	2.74
13895	1991	2	11.97	67.16	1.11
13895	1991	3	15.1	64.41	0.74
13895	1991	4	19.8	76.79	3.37
13895	1991	5	23.43	82.03	3.45
13895	1991	6	25.16	76.62	1.4
13895	1991	7	26.93	79.86	1
13895	1991	8	26.31	78.13	2.52
13895	1991	9	24.02	72.46	1.3
13895	1991	10	18.65	69.54	1.06
13895	1991	11	10.89	64.92	1.13
13895	1991	12	10.07	71.62	1.39
13895	1992	1	7.61	73.38	1.61
13895	1992	3	13.67	64.21	1.03
13895	1992	4	17.21	67.63	2.3
13895	1992	5	20.74	68.01	1.9
13895	1992	6	24.52	77.05	2.3
13895	1992	8	24.93	80.66	3
13895	1992	9	23.76	79.79	1.73
13895	1992	10	17.56	74.85	3.1
13895	1992	11	12.01	72.62	2.17
13895	1992	12	9.51	76.22	1.68
13895	1993	1	10.35	74.97	1.84
13895	1993	2	9.09	63.3	0.25
13895	1993	3	12.55	64.83	0.94
13895	1993	4	16.13	65.02	0.87
13895	1993	5	21.87	71.56	2.97
13895	1993	6	26.67	68.09	0
13895	1993	7	28.23	71.91	0.32
13895	1993	8	27.24	77.28	0.9
13895	1993	9	24.31	72.62	1.7
13895	1993	10	17.93	71.9	1.48
13895	1993	11	12.26	70.32	1.03
13895	1993	12	7.97	71.11	0.74
13895	1994	1	6.33	67.73	0.65
13895	1994	2	12	69.4	0.86
13895	1994	3	14.66	65.19	0.81
13895	1994	4	20.18	69.23	1.3
13895	1994	5	22.28	67.32	1.61
13895	1994	6	26.07	78.32	1.77
13895	1994	7	25.78	80.68	1.03
13895	1994	9	23.57	75.27	1.77
13895	1994	10	18.55	78.15	2.97
13895	1994	11	15.7	72.11	1.47
13895	1994	12	11.31	78.96	1.52
13895	1995	1	8.78	70.82	1.16
13895	1995	3	16.27	67.54	1.81
13895	1995	4	19.17	69.7	2.37
13895	1995	5	24.23	71.34	1.52
13895	1995	6	25.48	69.35	1.53
13897	1990	1	7.82	65.71	0.52
13897	1990	2	9.92	65	0.93
13897	1990	3	12.12	65.22	0.87
13897	1990	4	14.97	59.96	0.47
13897	1990	5	19.32	69.43	0.58
13897	1990	6	25.95	62.05	0
13897	1990	9	23.19	67.45	1.1
13897	1990	10	15.33	68.03	1.32
13897	1990	11	12.21	65.58	0.23
13897	1990	12	6.54	77.84	1.61
13897	1991	1	3.93	79.69	0.94
13897	1991	2	6.75	69.38	0.68
13897	1991	3	11.58	61.38	0.32
13897	1991	4	17.9	68.78	1.4
13897	1991	5	23.23	75.19	1.55
13897	1991	6	25.31	74.02	0.97
13897	1991	7	26.8	70.6	0.84
13897	1991	8	25.34	72.91	1.26
13897	1991	9	21.81	73.29	0.97
13897	1991	10	15.91	70.45	1.55
13897	1991	11	8.29	72.7	1.7
13897	1991	12	6.73	74.02	1
13897	1992	1	4.27	74.31	0.65
13897	1992	2	7.72	72.11	1.1
13897	1992	3	9.98	65.79	0.84
13897	1992	4	15.52	64.13	0.93
13897	1992	5	18.61	70.66	1.32
13897	1992	6	22.6	74.87	2.3
13897	1992	7	26.16	74.68	0.55
13897	1992	8	23.36	75.14	2.52
13897	1992	9	21.17	76.34	1.93
13897	1992	10	15.24	69.92	1.71
13897	1992	11	9.23	68.44	0.77
13897	1992	12	5.19	75.2	0.48
13897	1993	1	5.45	70.94	0.97
13897	1993	2	3.82	63.76	0.18
13897	1993	3	8.72	66.68	0.77
13897	1993	4	14.17	63.03	0.23
13897	1993	5	19.83	70.65	2.03
13897	1993	6	24.6	71.92	1.43
13897	1993	7	28.07	68.46	0.13
13897	1993	8	26.95	67.62	0.55
13897	1993	9	21.14	69.08	1.47
13897	1993	10	14.63	69.25	0.45
13897	1993	11	8.49	68.73	0.57
13897	1993	12	4.67	70.64	0.29
13897	1994	1	0.69	73.79	0.58
13897	1994	2	6.66	66.14	0.57
13897	1994	3	10.31	61.25	0.65
13897	1994	4	17.25	61.39	0.83
13897	1994	5	18.42	66.61	0.61
13897	1994	6	25.16	75.92	1.2
13897	1994	7	25.3	74.46	0.74
13897	1994	8	24.81	72.08	1.29
13897	1994	9	20.39	73.36	1.97
13897	1994	10	15.91	71.01	1.94
13897	1994	11	12.29	67.57	0.97
13897	1994	12	7.46	75.31	1.13
13897	1995	1	3.83	72.48	0.55
13897	1995	4	16.53	63.37	1.27
13897	1995	6	23.64	75.16	2.7
13897	1995	7	26.78	73.6	0.94
13897	1995	8	27.89	75.93	0.42
13897	1995	9	21.04	73.91	2.57
13897	1995	10	15.62	73.56	2.16
13897	1995	11	6.76	69.4	0.57
13897	1995	12	4	66.84	0.4
13899	1990	1	13.04	79.25	3.26
13899	1990	2	15.35	77.11	3.46
13899	1990	4	19.09	73.85	3.3
13899	1990	5	23.55	74.53	1.87
13899	1990	6	27.47	73.37	0.4
13899	1990	9	25.96	71.31	0.37
13899	1990	11	16.32	74.55	3.27
13899	1990	12	14.07	78.59	2.97
13899	1991	1	12.02	81.8	3.35
13899	1991	3	16.99	70.61	2.42
13899	1991	4	21.34	81.72	4.3
13899	1991	5	24.8	83.22	2.29
13899	1991	6	26.52	75.04	0.47
13899	1991	7	27.5	79.56	0.55
13899	1991	8	26.96	80.79	1.06
13899	1991	10	20.94	69.53	0
13899	1991	11	12.71	67.98	2.63
13899	1991	12	12.61	75.97	2.74
13899	1992	1	10.4	73.82	1.26
13899	1992	2	13.88	75.98	2.62
13899	1992	3	15.96	70.14	2.61
13899	1992	4	19.14	70.33	2.67
13899	1992	5	22.8	67.25	1.52
13899	1992	6	26.79	74.29	0.3
13899	1992	7	28.03	77.56	0.55
13899	1992	8	25.96	80.82	1.13
13899	1992	9	25.19	79.86	1.07
13899	1992	10	20.01	75.68	2.94
13899	1992	11	14.3	75.69	2.07
13899	1992	12	13.62	78.23	2.39
13899	1993	1	13.7	77.62	3
13899	1993	2	12.18	67.07	1.61
13899	1993	3	14.54	71.53	2.32
13899	1993	4	17.57	71.75	2.63
13899	1993	5	22.77	74.27	2.03
13899	1993	6	26.97	75.5	0.63
13899	1993	7	27.99	76.38	0.52
13899	1993	10	20.4	76.38	1.81
13899	1993	11	14.95	77.65	1.5
13899	1993	12	10.55	80.06	2.52
13899	1994	1	9.09	74.87	1.87
13899	1994	2	14.17	80.36	3.29
13899	1994	3	16.25	77.03	3.42
13899	1994	4	20.44	83.73	4.4
13899	1994	5	23.66	77.22	2.03
13899	1994	6	26.42	83.59	0.67
13899	1994	7	26.14	82.49	1.19
13899	1994	8	26.42	79.75	0.61
13899	1994	9	24.73	80.59	1.83
13899	1994	10	20.56	82.93	3.48
13899	1994	11	17.7	77.29	3.13
13899	1995	1	11.15	77.87	2.58
13899	1995	2	13.39	74.16	3.68
13899	1995	3	16.44	80.52	3.87
13899	1995	4	19.72	77.34	2.9
13899	1995	5	24.8	79.63	1.45
13957	1990	1	11.43	70.8	1.58
13957	1990	2	13	69.78	1.25
13957	1990	4	18.66	69.72	1.3
13957	1990	5	22.32	75.83	1.58
13957	1990	6	27.98	73.14	0.67
13957	1990	7	27.32	72.6	0.48
13957	1990	8	27.97	68.17	0.26
13957	1990	9	25.81	71.38	0.9
13957	1990	10	17.59	71.39	1.45
13957	1990	11	14.51	72.71	1.43
13957	1990	12	8.63	78.26	1.32
13957	1991	2	11.43	69.82	1.5
13957	1991	3	15.37	60.44	0.23
13957	1991	4	20.09	77.16	2.93
13957	1991	5	23.44	81.87	2.61
13957	1991	6	26.51	76.38	0.83
13957	1991	7	27.47	75.23	0.87
13957	1991	8	26.54	78.85	1.65
13957	1991	9	23.42	77.28	1.77
13957	1991	10	19.64	72.61	2.58
13957	1991	11	11.05	72.08	1.43
13957	1991	12	10.52	78.45	2.03
13957	1992	1	8.17	71.58	1.16
13957	1992	2	12.35	67.28	1.66
13957	1992	3	15.02	67.47	1.55
13957	1992	4	18.42	70.01	2.43
13957	1992	5	21.52	75.43	2.71
13957	1992	6	25.68	76.09	2.23
13957	1992	7	27.72	74.88	0.52
13957	1992	8	25.61	70.28	0.68
13957	1992	9	23.68	73.28	1.43
13957	1992	10	19.2	69.9	2.26
13957	1992	11	10.65	74.12	1.4
13957	1992	12	9.67	79.6	1.65
13957	1993	1	8.03	77.33	1
13957	1993	2	9.56	70.82	0.89
13957	1993	3	12.79	68.13	1.48
13957	1993	4	16.42	71.54	1.93
13957	1993	5	21.28	76.23	2.74
13957	1993	6	26.35	80.34	1.13
13957	1993	7	28.81	72.78	0.32
13957	1993	8	28.69	72.6	0.45
13957	1993	9	24.6	68.68	0.83
13957	1993	10	17.27	78.97	2.71
13957	1993	11	11.22	74.24	1.77
13957	1993	12	9.6	70.82	1.16
13957	1994	1	7.6	69.78	1.06
13957	1994	2	10.72	70.68	1.79
13957	1994	3	14.6	68.63	1.52
13957	1994	4	19.45	72.25	1.6
13957	1994	5	21.52	78.29	3.06
13957	1994	6	26.73	79.28	1.5
13957	1994	7	27.37	75.35	0.84
13957	1994	8	26.68	76.77	1.26
13957	1994	9	24.19	69.12	0.53
13957	1994	10	18.76	77.86	3.61
13957	1994	11	15.18	75.93	2.23
13957	1994	12	10.39	80.67	2.58
13957	1995	1	8.94	72.64	0.97
13957	1995	2	11.35	63.64	0.96
13957	1995	3	14.96	70.5	1.06
13957	1995	4	18.38	72.65	1.73
13957	1995	5	23.02	77.1	1.97
13957	1995	6	26.09	69.04	0.87
13957	1995	7	28.58	72.73	0.74
13957	1995	8	29.8	66.6	0.19
13957	1995	9	24.47	68.67	0.83
13958	1990	1	14.14	62.49	1.45
13958	1990	2	14.65	68.5	1.93
13958	1990	3	16.39	76.05	3.19
13958	1990	4	20.41	74.19	2.83
13958	1990	5	25.3	71.75	0.97
13958	1990	6	29.6	65.48	0.03
13958	1990	7	27.9	67.98	0.48
13958	1990	8	29.29	61.63	0.1
13958	1990	9	26.35	69.25	0.4
13958	1990	10	20.45	63.89	0.58
13958	1990	11	17.01	70.98	2.27
13958	1990	12	10.06	65.05	1.58
13958	1991	1	8.27	78.1	1.06
13958	1991	2	13.69	63.92	1.14
13958	1991	3	17.33	55.44	0.81
13958	1991	4	21.71	75.15	2.37
13958	1991	5	24.48	77.7	2
13958	1991	7	28.2	70.39	0.39
13958	1991	8	28.68	68.11	0.29
13958	1991	9	24.22	75.31	0.8
13958	1991	10	21.75	64.89	1.45
13958	1991	11	13.53	64.92	1.53
13958	1991	12	12.26	77.57	1.81
13958	1992	1	10.05	72.36	1.77
13958	1992	2	14.53	68.01	2.31
13958	1992	3	17.05	68.89	2.29
13958	1992	4	19.82	72.35	2.9
13958	1992	5	22.23	78.19	3.42
13958	1992	6	27.29	73.24	0.97
13958	1992	7	28.07	72.22	0.29
13958	1992	8	27.21	65.62	0.19
13958	1992	9	25.98	67.12	0.33
13958	1992	10	22.15	64.3	1.19
13958	1992	11	13.34	65.33	1.27
13958	1992	12	12.11	76.53	1.84
13958	1993	1	9.91	76.69	1.65
13958	1993	2	12.44	70.73	1.39
13958	1993	3	15.87	64.74	1.55
13958	1993	4	18.98	67	1.43
13958	1993	5	22.9	70.37	1.74
13958	1993	6	26.69	78.09	0.8
13958	1993	7	29.12	66.89	0.03
13958	1993	8	30.18	59.11	0
13958	1993	9	27.14	58.03	0.03
13958	1993	10	20.46	63.02	0.71
13958	1993	11	13.11	67.21	1.57
13958	1993	12	12.49	64.38	1.65
